horizon_bin,horizon_years,n,n_format_ok,frac_short,p_short_mean
1 minute,1.901285268841737e-06,90,90,0.6222222222222222,0.6375089999095428
10 minutes,1.901285268841737e-05,71,71,0.5070422535211268,0.5004412705183947
1 hour,0.00011407711613050422,82,82,0.7317073170731707,0.7274595339382757
6 hours,0.0006844626967830253,80,80,0.7125,0.7075535613856638
1 day,0.0027378507871321013,78,78,0.9487179487179487,0.9528437174370578
3 days,0.008213552361396304,90,90,0.9777777777777777,0.980077449154012
1 week,0.019164955509924708,72,72,0.9861111111111112,0.9834767356908924
2 weeks,0.038329911019849415,83,83,0.9879518072289156,0.9880395422332511
1 month,0.08333333333333333,80,80,1.0,0.9992717306366842
2 months,0.16666666666666666,66,66,1.0,0.9999374398251702
3 months,0.25,87,87,0.9770114942528736,0.9831636125855832
6 months,0.5,83,83,1.0,0.9999177981047259
1 year,1.0,79,79,0.9873417721518988,0.9817138426896309
2 years,2.0,81,81,0.8271604938271605,0.8266509011738961
3 years,3.0,69,69,0.8405797101449275,0.8367447417612822
5 years,5.0,79,79,0.6962025316455697,0.6932164441946694
10 years,10.0,65,65,0.5076923076923077,0.5090188201570789
20 years,20.0,62,62,0.3548387096774194,0.35254709909593857
30 years,30.0,83,83,0.24096385542168675,0.22936142670448922
50 years,50.0,76,76,0.17105263157894737,0.16856648893006992
100 years,100.0,81,81,0.25925925925925924,0.2402189564796268
300 years,300.0,68,68,0.27941176470588236,0.2766448892295039
1000 years,1000.0,83,83,0.2891566265060241,0.2560458479812812
3000 years,3000.0,69,69,0.08695652173913043,0.08783000519877592
10000 years,10000.0,70,70,0.11428571428571428,0.11567264103266539
none,,73,73,0.0410958904109589,0.03738693792959732
