horizon_bin,horizon_years,n,n_format_ok,frac_short,p_short_mean
1 day,0.0027378507871321013,132,132,0.9242424242424242,0.9217377946368979
3 days,0.008213552361396304,107,107,0.9626168224299065,0.9598485053628789
1 week,0.019164955509924708,112,112,0.9910714285714286,0.9874019551508076
2 weeks,0.038329911019849415,118,118,0.9830508474576272,0.9868070868573414
1 month,0.08333333333333333,107,107,1.0,0.9982373343227555
2 months,0.16666666666666666,110,110,1.0,0.9995054639537531
3 months,0.25,131,131,1.0,0.9991913916509011
6 months,0.5,99,99,0.9797979797979798,0.9828779489567899
1 year,1.0,107,107,0.9906542056074766,0.9912741234496314
2 years,2.0,106,106,0.7547169811320755,0.7539549870958413
3 years,3.0,106,106,0.7735849056603774,0.7690897748413391
5 years,5.0,113,113,0.6548672566371682,0.6487221261666928
10 years,10.0,112,112,0.42857142857142855,0.43301408269731506
20 years,20.0,107,107,0.3644859813084112,0.3611860551422721
30 years,30.0,94,94,0.26595744680851063,0.2754277646183467
50 years,50.0,111,111,0.15315315315315314,0.13951965985581294
100 years,100.0,118,118,0.2542372881355932,0.24035950983235843
none,,110,110,0.1,0.09470996452237372
