position,layer,n95,n99,n_dims_above_noise,scree3,noise3,tortuosity,planarity2,split_half_r,snr,mean_pr
T3,1,6,10,16,0.060276132076978683,0.0007896574679762125,3.4453468322753906,0.8119939565658569,0.9993213038861917,0.2769697606563568,5.90470802082735
R0,1,6,10,16,0.04372970759868622,0.0030267229303717613,2.4930760860443115,0.8284042477607727,0.9941815343838314,0.09732149541378021,5.0623743954826805
T3,2,7,12,16,0.0888320729136467,0.003989155869930983,4.033412456512451,0.725781261920929,0.954081098326885,0.2348146140575409,4.079345815321979
R0,2,7,12,16,0.05038442835211754,0.0038530149031430483,2.1472771167755127,0.7985581755638123,0.9934762995276394,0.07819519937038422,5.102997303009033
T3,3,7,12,16,0.05868683382868767,0.0030476844403892756,3.031402826309204,0.8097196817398071,0.9784749572909163,0.1968613713979721,4.709169836605296
R0,3,7,12,16,0.048253219574689865,0.003593446919694543,2.2358052730560303,0.8039345145225525,0.9903500235454213,0.16080643236637115,4.360473169999964
T3,4,8,13,16,0.055507585406303406,0.003594597103074193,3.014441728591919,0.78103107213974,0.989406293564219,0.20609167218208313,5.1699268958147835
R0,4,8,13,16,0.060133565217256546,0.004658261779695749,2.5151851177215576,0.7780318260192871,0.985071996537662,0.166066512465477,4.4453394833733055
T3,5,8,13,16,0.04617147147655487,0.0033325052354484797,2.7648231983184814,0.7920750379562378,0.9923856373778431,0.18873941898345947,4.948591372546027
R0,5,8,13,16,0.0535569041967392,0.00693967891857028,2.3023300170898438,0.7629184722900391,0.9820778860432269,0.09023457020521164,4.998849363888011
T3,6,8,13,16,0.054517876356840134,0.003930744249373674,3.1530184745788574,0.7691765427589417,0.9934471309407551,0.22783608734607697,5.513032548567828
R0,6,8,13,16,0.05025603994727135,0.0058478922583162785,2.972761392593384,0.7690688967704773,0.9851566635197773,0.17718589305877686,5.328658328336828
T3,7,9,14,16,0.05812041461467743,0.00488312728703022,3.132352352142334,0.7441601753234863,0.9899509806394665,0.20237988233566284,6.29628921957577
R0,7,9,14,16,0.08620784431695938,0.0037665567360818386,3.8059842586517334,0.7054577469825745,0.9877739792664535,0.37219080328941345,6.7888091592227715
T3,8,9,14,16,0.05990426987409592,0.004438276868313551,3.401306629180908,0.7375680208206177,0.9942584435551023,0.22679051756858826,6.878329305087819
R0,8,8,13,16,0.08127914369106293,0.003629246260970831,3.8012640476226807,0.7167381048202515,0.985323547966164,0.34162598848342896,6.530151507433723
T3,9,9,14,16,0.0849025622010231,0.004275095649063587,3.638970375061035,0.7059643864631653,0.9934204425823753,0.23353399336338043,8.923925231484805
R0,9,8,13,16,0.07411704957485199,0.004445305094122887,3.9926743507385254,0.7246132493019104,0.983172403375094,0.28302255272865295,7.297419800477869
T3,10,9,14,16,0.0868086889386177,0.004669001325964928,3.7038636207580566,0.713874340057373,0.9919933353094395,0.22369012236595154,8.500024066251868
R0,10,8,13,16,0.07220723479986191,0.004193861503154039,4.050761699676514,0.7288859486579895,0.9834153931678076,0.27177175879478455,7.690157890319824
T3,11,9,14,16,0.07925841212272644,0.005915144924074411,3.772462844848633,0.7313460111618042,0.9880879444049905,0.20226402580738068,6.823055772220387
R0,11,8,13,16,0.06729261577129364,0.003956821281462908,4.210935592651367,0.739742636680603,0.9825820781834812,0.2692732810974121,7.823010528788847
T3,12,8,13,16,0.07764947414398193,0.004647312220185995,3.890773057937622,0.7365697622299194,0.9900694974562612,0.26152798533439636,7.213090139276841
R0,12,8,13,16,0.06532135605812073,0.003869954962283373,3.974900007247925,0.7489811182022095,0.97948593720696,0.2303575724363327,8.009266516741585
T3,13,8,13,16,0.08052918314933777,0.004829650744795799,4.043338775634766,0.7301189303398132,0.9866244292822998,0.2461487352848053,7.335600404178395
R0,13,8,13,16,0.06573761254549026,0.002990876790136099,3.515981435775757,0.7551294565200806,0.984627993384265,0.1940307319164276,8.564235126270967
T3,14,9,13,16,0.06482076644897461,0.0039434535428881645,3.850010633468628,0.7483087182044983,0.9891469952367761,0.25639843940734863,8.300941831925336
R0,14,7,12,16,0.06084395572543144,0.0018795422511175275,3.4074456691741943,0.800737738609314,0.9933747769679437,0.3316158950328827,9.036620757159065
T3,15,9,14,16,0.054175592958927155,0.0035379554610699415,4.056881904602051,0.7388043999671936,0.9908221785000636,0.24730637669563293,9.600366311914781
R0,15,7,12,16,0.0582980141043663,0.0024948061909526587,3.5883777141571045,0.7964625358581543,0.9908111472467438,0.3142799139022827,8.838290551129509
T3,16,8,13,16,0.050795044749975204,0.00445838226005435,3.2654953002929688,0.764543354511261,0.9928703318915301,0.2131696343421936,9.908049302942613
R0,16,7,12,16,0.05471251904964447,0.002478252863511443,3.571990728378296,0.8064382672309875,0.991664155251573,0.3204009532928467,8.899636100320254
T3,17,8,13,16,0.05080993101000786,0.004789120517671108,3.559666872024536,0.7693274021148682,0.9925634999748155,0.2526014745235443,10.260512632482191
R0,17,7,12,16,0.05245346203446388,0.0022411271929740906,3.658461809158325,0.8127694129943848,0.9910962426151271,0.3244000971317291,9.043789358700023
T3,18,7,12,16,0.05119173601269722,0.0029032155871391296,3.5243117809295654,0.818896472454071,0.9928907843237008,0.2797052562236786,8.874084136065315
R0,18,6,12,16,0.043181609362363815,0.001648501493036747,3.5187606811523438,0.8435562252998352,0.9942761452811626,0.3193732500076294,8.397089817944694
T3,19,6,11,16,0.04764743149280548,0.002180280163884163,3.4542770385742188,0.8336191773414612,0.9949731426263481,0.3172776699066162,8.695571450626149
R0,19,6,11,16,0.04220100864768028,0.0016364374896511436,3.542170286178589,0.8471477031707764,0.9942271274920148,0.3449157476425171,8.411313589881448
T3,20,6,11,16,0.04850231856107712,0.0020127049647271633,3.4754316806793213,0.8356956243515015,0.994719188935798,0.3082351088523865,8.77601853538962
R0,20,5,11,16,0.044424932450056076,0.0015793219208717346,3.5852468013763428,0.8597497940063477,0.994484980916672,0.3401963710784912,8.288117408752441
T3,21,6,11,16,0.05040955916047096,0.002231769496574998,3.3889615535736084,0.8394525051116943,0.9947753466278985,0.29482364654541016,8.744798071244183
R0,21,5,11,16,0.039693042635917664,0.00165586790535599,3.412000894546509,0.8734498620033264,0.9943902059837542,0.3326600193977356,8.11887227787691
T3,22,6,11,16,0.0448296032845974,0.00220957538112998,3.184515953063965,0.8541204333305359,0.9946216354524317,0.2896544635295868,8.794163984410902
R0,22,5,10,16,0.03652667626738548,0.0018596696900203824,3.0479140281677246,0.8777482509613037,0.9955660507503974,0.33948197960853577,8.097267992356244
T3,23,6,11,16,0.04427791386842728,0.0023182006552815437,3.152822494506836,0.8542808890342712,0.9940108149248265,0.27209988236427307,8.784293679630055
R0,23,5,10,16,0.03390568494796753,0.001811870140954852,2.93656587600708,0.8811146020889282,0.9959238623778569,0.335356742143631,8.230028713450713
T3,24,5,11,16,0.04081836715340614,0.0023730474058538675,3.122718095779419,0.8662452697753906,0.9945157121000038,0.26867762207984924,8.580541779013242
R0,24,5,10,16,0.028866052627563477,0.0014921269612386823,2.670621395111084,0.8964254856109619,0.9966318095589337,0.30679601430892944,6.855298126445097
T3,25,6,11,16,0.03980890288949013,0.0026137155946344137,3.0897133350372314,0.8688090443611145,0.9941939891932189,0.26819464564323425,8.817724564496208
R0,25,4,9,16,0.02372381091117859,0.0009703966788947582,2.0306670665740967,0.9161385297775269,0.9966512361887486,0.266260027885437,6.158841609954834
T3,26,6,11,16,0.03909327834844589,0.0028395862318575382,3.12046217918396,0.8694105744361877,0.993312199751072,0.258348286151886,8.995164310230928
