horizon_bin,horizon_years,n,n_format_ok,frac_short,p_short_mean
17 hours,0.0019393109742185718,20,20,0.85,0.8491459701026873
1 day,0.0027378507871321013,240,220,0.8090909090909091,0.8251621898323759
3 days,0.008213552361396304,20,20,0.9,0.9002318692999628
1 week,0.019164955509924708,260,240,0.9416666666666667,0.9266372530602583
2 weeks,0.038329911019849415,240,220,0.8181818181818182,0.8308456366409405
18 days,0.049281314168377825,20,20,0.9,0.9177416894912842
1 month,0.08333333333333333,260,240,0.9666666666666667,0.9694841265318004
10 weeks,0.19164955509924708,40,40,0.85,0.8673348522180602
3 months,0.25,240,220,0.9545454545454546,0.9489994782958787
6 months,0.5,260,240,0.9375,0.9314057540279016
10 months,0.8333333333333333,20,20,0.95,0.9690787313301259
1 year,1.0,20,20,0.7,0.6709390210670971
2 years,2.0,260,240,0.8208333333333333,0.8135572732559724
3 years,3.0,20,20,0.15,0.17107047022355498
5 years,5.0,260,240,0.8,0.7989903443723757
10 years,10.0,260,240,0.5625,0.5669489817962726
20 years,20.0,260,240,0.4041666666666667,0.40542251828953296
30 years,30.0,260,240,0.20416666666666666,0.20385164093559607
100 years,100.0,260,240,0.26666666666666666,0.26407036391069827
300 years,300.0,20,20,0.35,0.33432055992473597
