tag,layer,position,test_within2x,mention_within2x,mention_rho,role_within2x,role_rho
train-structured+plain+varied-investment+climate,14,T0,0.7118055555555556,0.22916666666666666,0.6974411162737065,0.07083333333333333,0.3918368347761956
train-structured+plain+varied-investment+climate,14,T1,0.875,0.3375,0.8460618758428885,0.10416666666666667,0.8178091734512252
train-structured+plain+varied-investment+climate,14,T2,0.9027777777777778,0.475,0.6865272526710722,0.55,0.5341509650768249
train-structured+plain+varied-investment+climate,14,T3,0.7465277777777778,0.30833333333333335,0.8516755137439811,0.20833333333333334,0.8546433678558439
train-structured+plain+varied-investment+climate,14,T4,0.7118055555555556,0.25833333333333336,0.8037208426792195,0.06666666666666667,0.8706205709387641
train-structured+plain+varied-investment+climate,14,T5,0.7048611111111112,0.14166666666666666,0.743877778388567,0.004166666666666667,0.5981214369502302
train-structured+plain+varied-investment+climate,14,T6,0.78125,0.19166666666666668,0.7418076083336403,0.0375,0.7466531938562226
train-structured+plain+varied-investment+climate,14,T7,0.7604166666666666,0.2125,0.8027940628370579,0.16666666666666666,0.7016352150650352
train-structured+plain+varied-investment+climate,14,T8,0.7847222222222222,0.25,0.8545700186561744,0.0875,0.6019916587487918
train-structured+plain+varied-investment+climate,14,R0,0.8298611111111112,0.14583333333333334,0.7507459332657003,0.075,0.9204197695463949
train-structured+plain+varied-investment+climate,18,T0,0.8680555555555556,0.49166666666666664,0.7585868814104137,0.0,0.8703161812292621
train-structured+plain+varied-investment+climate,18,T1,0.9236111111111112,0.44583333333333336,0.7884296264169333,0.4083333333333333,0.8524514145697295
train-structured+plain+varied-investment+climate,18,T2,0.8923611111111112,0.4166666666666667,0.686170431579617,0.6875,0.5942707551472861
train-structured+plain+varied-investment+climate,18,T3,0.7777777777777778,0.3625,0.7443470285100549,0.4166666666666667,0.6533253983455526
train-structured+plain+varied-investment+climate,18,T4,0.8402777777777778,0.3125,0.761173617279004,0.2875,0.5887166199486549
train-structured+plain+varied-investment+climate,18,T5,0.7604166666666666,0.24583333333333332,0.7352463543222723,0.004166666666666667,0.5474733340885675
train-structured+plain+varied-investment+climate,18,T6,0.875,0.3375,0.7693883159830155,0.04583333333333333,0.7800492174764805
train-structured+plain+varied-investment+climate,18,T7,0.7673611111111112,0.275,0.778842338550901,0.0875,0.6060954920505088
train-structured+plain+varied-investment+climate,18,T8,0.7291666666666666,0.32083333333333336,0.8012265677503857,0.09583333333333334,0.6299898671353553
train-structured+plain+varied-investment+climate,18,R0,0.7847222222222222,0.325,0.780764918373352,0.1625,0.8178052654521019
train-structured+plain+varied-investment+climate,22,T0,0.8958333333333334,0.4666666666666667,0.5349477430296782,0.15833333333333333,0.8299118125143355
train-structured+plain+varied-investment+climate,22,T1,0.9583333333333334,0.23333333333333334,0.5327078442074049,0.35833333333333334,0.5742487729716251
train-structured+plain+varied-investment+climate,22,T2,0.9131944444444444,0.49166666666666664,0.1628367375789932,0.6583333333333333,0.3047935360781116
train-structured+plain+varied-investment+climate,22,T3,0.90625,0.42083333333333334,0.22444220288096917,0.26666666666666666,0.8072623522613611
train-structured+plain+varied-investment+climate,22,T4,0.7013888888888888,0.44166666666666665,0.6054177381474762,0.2375,0.4927895707987851
