n,rmse,bias,rmse_debiased,medae,rho,within2x,worst_group,worst_group_name,suite,method,tag,n_nan
96,0.11726887874103516,-0.0002094518662281187,0.11726869169175266,0.06790278793968701,0.991882462016076,0.9895833333333334,0.9166666666666666,30 years,"A new scenarios, structured, train horizons",activation,train-structured+plain+varied-investment+climate,0
96,1.7619890380815402,0.040857435244447515,1.7615152682576318,1.3802112417116061,0.0,0.14583333333333334,0.0,1 day,"A new scenarios, structured, train horizons",regex_first,train-structured+plain+varied-investment+climate,0
96,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"A new scenarios, structured, train horizons",regex_horizon,train-structured+plain+varied-investment+climate,0
96,0.35673447875820774,0.07133048253150749,0.34953032857924143,0.26291295196112097,0.9840077749210097,0.5520833333333334,0.16666666666666666,1 day,"A new scenarios, structured, train horizons",text_ridge,train-structured+plain+varied-investment+climate,0
320,0.013825548570868852,1.5953901331888785e-05,0.013825539365915749,0.009939964776521176,0.9921615862000442,1.0,1.0,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",activation,train-structured+plain+varied-investment+climate,0
320,1.9782006512866888,0.14099686639939538,1.9731694555756307,1.4164621889280964,0.0,0.13125,0.0,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",regex_first,train-structured+plain+varied-investment+climate,0
320,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",regex_horizon,train-structured+plain+varied-investment+climate,0
320,0.20980276602987297,-0.0007166650769722477,0.2098015419985112,0.1603744029408134,0.9921615862000442,0.825,0.5,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",text_ridge,train-structured+plain+varied-investment+climate,0
320,0.010324184181272362,3.1353636793962638e-06,0.010324183705181202,0.006048820622751833,0.9921615862000442,1.0,1.0,1 day,"C familiar scenarios, varied, train horizons [IN TRAINING SET under this condition]",activation,train-structured+plain+varied-investment+climate,0
320,1.362507067644563,0.05855103956168767,1.3612484288871123,0.0,0.541545888607488,0.58125,0.4,1 day,"C familiar scenarios, varied, train horizons [IN TRAINING SET under this condition]",regex_first,train-structured+plain+varied-investment+climate,0
320,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"C familiar scenarios, varied, train horizons [IN TRAINING SET under this condition]",regex_horizon,train-structured+plain+varied-investment+climate,0
