n,rmse,bias,rmse_debiased,medae,rho,within2x,worst_group,worst_group_name,suite,method,tag,n_nan
96,0.26101606174009634,0.12706010736318554,0.22800244209912654,0.12601811535033614,0.9859764466947762,0.8333333333333334,0.5,1 day,"A new scenarios, structured, train horizons",activation,train-structured+plain+varied-investment,0
96,1.7619890380815402,0.040857435244447515,1.7615152682576318,1.3802112417116061,0.0,0.14583333333333334,0.0,1 day,"A new scenarios, structured, train horizons",regex_first,train-structured+plain+varied-investment,0
96,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"A new scenarios, structured, train horizons",regex_horizon,train-structured+plain+varied-investment,0
96,0.44326147847098496,0.09248123314143475,0.43350658566268985,0.37936830064496674,0.9800704313734765,0.46875,0.0,1 day,"A new scenarios, structured, train horizons",text_ridge,train-structured+plain+varied-investment,0
320,0.27515081128090063,0.01784000766567515,0.2745718541202402,0.07584182860054511,0.9815165191814395,0.7875,0.675,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",activation,train-structured+plain+varied-investment,0
320,1.9782006512866888,0.14099686639939538,1.9731694555756307,1.4164621889280964,0.0,0.13125,0.0,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",regex_first,train-structured+plain+varied-investment,0
320,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",regex_horizon,train-structured+plain+varied-investment,0
320,0.27168398777098174,0.022936078953030428,0.2707141028712825,0.2256009931686072,0.9920730003441334,0.66875,0.1,1 day,"B familiar scenarios, plain, train horizons [IN TRAINING SET under this condition]",text_ridge,train-structured+plain+varied-investment,0
320,0.35824650481931003,-0.019020439711291335,0.35774122084048554,0.10693516934186664,0.9698231862012245,0.69375,0.6,1 day,"C familiar scenarios, varied, train horizons [IN TRAINING SET under this condition]",activation,train-structured+plain+varied-investment,0
320,1.362507067644563,0.05855103956168767,1.3612484288871123,0.0,0.541545888607488,0.58125,0.4,1 day,"C familiar scenarios, varied, train horizons [IN TRAINING SET under this condition]",regex_first,train-structured+plain+varied-investment,0
320,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"C familiar scenarios, varied, train horizons [IN TRAINING SET under this condition]",regex_horizon,train-structured+plain+varied-investment,0
320,0.5262769764457073,0.04000089465052874,0.5247545944191369,0.38074470083945966,0.9802172599614154,0.396875,0.0,1 day,"C familiar scenarios, varied, train horizons [IN TRAINING SET under this condition]",text_ridge,train-structured+plain+varied-investment,0
96,0.25079857133062355,-0.019310396688261365,0.25005405807789616,0.12600770985811505,0.9802344873546236,0.8229166666666666,0.5833333333333334,100 years,"D new scenarios, plain, train horizons",activation,train-structured+plain+varied-investment,0
96,1.7619890380815402,0.040857435244447515,1.7615152682576318,1.3802112417116061,0.0,0.14583333333333334,0.0,1 day,"D new scenarios, plain, train horizons",regex_first,train-structured+plain+varied-investment,0
96,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"D new scenarios, plain, train horizons",regex_horizon,train-structured+plain+varied-investment,0
96,0.3519784431783512,0.08518360033740728,0.3415151222066347,0.2511732070961436,0.9825312710906847,0.6145833333333334,0.25,1 day,"D new scenarios, plain, train horizons",text_ridge,train-structured+plain+varied-investment,0
96,0.37514400111414226,-0.06924574005313588,0.3686977746833049,0.22752766762307897,0.9666178409194046,0.6458333333333334,0.4166666666666667,100 years,"E new scenarios, varied, train horizons",activation,train-structured+plain+varied-investment,0
96,1.4130180146668765,0.1588165201905142,1.4040645365109456,0.6020599913279624,0.48204215875249695,0.4583333333333333,0.16666666666666666,10 years,"E new scenarios, varied, train horizons",regex_first,train-structured+plain+varied-investment,0
96,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1 day,"E new scenarios, varied, train horizons",regex_horizon,train-structured+plain+varied-investment,0
96,0.5647114604780042,0.05293110753150917,0.5622253386771966,0.3573512590089877,0.9554620342013939,0.4166666666666667,0.08333333333333333,1 day,"E new scenarios, varied, train horizons",text_ridge,train-structured+plain+varied-investment,0
160,0.2447352492152656,0.12657521320800233,0.20946135111233982,0.14768878399532065,0.9641496229777331,0.8,0.5,2 weeks,"F withheld horizons, structured, train scenarios",activation,train-structured+plain+varied-investment,0
160,1.6699565042397384,0.03535961139761323,1.669582110569713,1.1154321932641151,0.0,0.1125,0.0,2 weeks,"F withheld horizons, structured, train scenarios",regex_first,train-structured+plain+varied-investment,0
160,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,2 weeks,"F withheld horizons, structured, train scenarios",regex_horizon,train-structured+plain+varied-investment,0
160,0.7796471477656085,0.020933323130500014,0.7793660699579901,0.6368751735235167,0.7972449870141008,0.175,0.0,2 weeks,"F withheld horizons, structured, train scenarios",text_ridge,train-structured+plain+varied-investment,0
144,0.32019065475871117,0.11838196478042587,0.29750254756814803,0.16015843331020108,0.94152224239773,0.7013888888888888,0.4444444444444444,2 weeks,"G withheld horizons, all renderings, new scenarios",activation,train-structured+plain+varied-investment,0
144,1.3543445783135295,-0.026621139051222938,1.354082919086888,1.0,0.10282788069931295,0.1736111111111111,0.05555555555555555,2 weeks,"G withheld horizons, all renderings, new scenarios",regex_first,train-structured+plain+varied-investment,0
144,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2 weeks,"G withheld horizons, all renderings, new scenarios",regex_horizon,train-structured+plain+varied-investment,0
144,0.8436413696627924,0.07013857472117022,0.8407207270803991,0.7517012869014119,0.6831677023079545,0.20833333333333334,0.0,2 weeks,"G withheld horizons, all renderings, new scenarios",text_ridge,train-structured+plain+varied-investment,0
720,0.3996387848495959,0.040718395649977465,0.39755901525654463,0.2587868350664877,0.9645685985663949,0.5666666666666667,0.3,1 day,"H domain transfer -> climate, all renderings, all scenarios",activation,train-structured+plain+varied-investment,0
720,1.7443728554428597,0.17142930026962594,1.735928758277523,1.0,0.19818182532385167,0.28055555555555556,0.13333333333333333,100 years,"H domain transfer -> climate, all renderings, all scenarios",regex_first,train-structured+plain+varied-investment,0
720,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1 day,"H domain transfer -> climate, all renderings, all scenarios",regex_horizon,train-structured+plain+varied-investment,0
720,0.38250596740234843,0.07564635432773638,0.3749512557324339,0.25917851278940895,0.9860157699815768,0.5583333333333333,0.05555555555555555,1 day,"H domain transfer -> climate, all renderings, all scenarios",text_ridge,train-structured+plain+varied-investment,0
